-- RU-RU vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
кожа = кожа
коктейль = коктейль
колебание = колебание
колесо = колесо
количество = количество
коллекция = коллекция
колокол = колокол
колонизация = колонизация
колчан = колчан
кольцо = кольцо
команда = команда
комментарий = комментарий
коммерция = коммерция
комната = комната
компания = компания
композитор = композитор
компромисс = компромисс
компьютер = компьютер
комфорт = комфорт
конверт = конверт
кондитер = кондитер
кондитерская = кондитерская
конец = конец
консерватория = консерватория
консолидация = консолидация
конституция = конституция
консультант = консультант
консультация = консультация
контакт = контакт
контейнер = контейнер
контора = контора
контраст = контраст
контратака = контратака
контроль = контроль
конфедерация = конфедерация
конфигурация = конфигурация
конфликт = конфликт
конфорка = конфорка
конфронтация = конфронтация
концентрация = концентрация
кончик = кончик
копия = копия
корабль = корабль
коробка = коробка
корова = корова
королева = королева
королевство = королевство
корреспондент = корреспондент
косточка = косточка
кость = кость
костюм = костюм
косуля = косуля
кот = кот
котировка = котировка
котёл = котёл
котёнок = котёнок
кофе = кофе
кошмар = кошмар
край = край
кран = кран
крепость = крепость
крест = крест
крик = крик
криптография = криптография
критика = критика
кровать = кровать
круг = круг
кружка = кружка
крыло = крыло
крыса = крыса
крыша = крыша
ксилофон = ксилофон
кувшин = кувшин
кузнец = кузнец
куколка = куколка
кулинария = кулинария
культура = культура
культуризм = культуризм
курица = курица
курс = курс
кусок = кусок
кусочек = кусочек
куст = куст
кухня = кухня
куча = куча

лабиринт = лабиринт
лаборатория = лаборатория
лагуна = лагуна
ландшафт = ландшафт
лапа = лапа
легенда = легенда
лента = лента
лето = лето
лечение = лечение
лига = лига
лидер = лидер
ликование = ликование
лимонад = лимонад
линия = линия
лиса = лиса
литература = литература
лифт = лифт
лицо = лицо
личность = личность
лоб = лоб
ловушка = ловушка
логово = логово
лодка = лодка
ложь = ложь
локоть = локоть
ломтик = ломтик
лось = лось
луг = луг
лук = лук
луна = луна
луч = луч
любимец = любимец
любитель = любитель
любовь = любовь
люди = люди
люстра = люстра
лёд = лёд
лётчик = лётчик

магазин = магазин
магнит = магнит
май = май
малина = малина
мальчик = мальчик
манекен = манекен
манера = манера
манифестация = манифестация
манёвр = манёвр
маргаритка = маргаритка
марш = марш
масло = масло
масса = масса
математика = математика
материал = материал
мать = мать
махинация = махинация
машина = машина
маяк = маяк
мебель = мебель
медальон = медальон
медведь = медведь
медсестра = медсестра
мелодия = мелодия
мельник = мельник
мемуары = мемуары
мера = мера
место = место
месть = месть
месяц = месяц
метафизика = метафизика
метеор = метеор
метеорология = метеорология
метка = метка
метод = метод
методология = методология
метрополитен = метрополитен
мех = мех
механика = механика
мечта = мечта
мешанина = мешанина
миг = миг
микробиология = микробиология
микрофон = микрофон
миллионер = миллионер
минута = минута
мир = мир
мираж = мираж
мишень = мишень
младенец = младенец
мнение = мнение
множество = множество
мода = мода
модель = модель
можжевельник = можжевельник
мозг = мозг
молния = молния
молодёжь = молодёжь
монастырь = монастырь
монашка = монашка
мопс = мопс
море = море
мост = мост
мотив = мотив
мрамор = мрамор
муж = муж
мужчина = мужчина
музыка = музыка
муравей = муравей
мускул = мускул
мусор = мусор
муха = муха
мысль = мысль
мытьё = мытьё
мычание = мычание
мышеловка = мышеловка
мышление = мышление
мяуканье = мяуканье

наблюдение = наблюдение
набор = набор
навык = навык
наглость = наглость
надежда = надежда
надзор = надзор
надувание = надувание
надёжность = надёжность
назначение = назначение
назойливость = назойливость
наказание = наказание
наклейка = наклейка
накопление = накопление
налог = налог
намерение = намерение
нападение = нападение
напиток = напиток
направление = направление
народ = народ
нарушение = нарушение
наследие = наследие
наследник = наследник
наследница = наследница
наследство = наследство
настойчивость = настойчивость
настроение = настроение
натиск = натиск
наука = наука
начало = начало
небо = небо
невежда = невежда
невежество = невежество
невинность = невинность
неделя = неделя
недоверие = недоверие
недоумение = недоумение
независимость = независимость
неизменность = неизменность
нейтралитет = нейтралитет
неосязаемость = неосязаемость
неприятность = неприятность
нерв = нерв
несхожесть = несхожесть
нетерпение = нетерпение
неуверенность = неуверенность
неудобство = неудобство
нефть = нефть
новичок = новичок
новость = новость
нога = нога
ноль = ноль
нос = нос
ночь = ночь
нрав = нрав
нутро = нутро

обвинение = обвинение
обед = обед
обет = обет
обещание = обещание
область = область
облегчение = облегчение
обмен = обмен
ободрение = ободрение
обои = обои
оборудование = оборудование
образ = образ
образование = образование
обращение = обращение
обсерватория = обсерватория
общительность = общительность
объединение = объединение
объяснение = объяснение
объятие = объятие
обычай = обычай
обязанность = обязанность
обязательство = обязательство
овощ = овощ
овёс = овёс
огонь = огонь
ограничение = ограничение
одежда = одежда
одержимость = одержимость
одеяло = одеяло
одобрение = одобрение
океан = океан
окно = окно
окружность = окружность
опасность = опасность
операция = операция
описание = описание
оползень = оползень
оппонент = оппонент
оправа = оправа
оправдание = оправдание
определение = определение
оптимизация = оптимизация
опыт = опыт
организация = организация
орех = орех
оркестр = оркестр
оружие = оружие
орфография = орфография
орёл = орёл
оса = оса
освещение = освещение
освобождение = освобождение
осень = осень
оснастка = оснастка
основа = основа
особенность = особенность
остановка = остановка
остаток = остаток
острие = острие
остров = остров
осуществление = осуществление
ось = ось
ответ = ответ
отдел = отдел
отдых = отдых
отец = отец
отклонение = отклонение
открытие = открытие
отмена = отмена
отношение = отношение
отпрыск = отпрыск
отпуск = отпуск
отрасль = отрасль
отставание = отставание
отсутствие = отсутствие
оттенок = оттенок
отчизна = отчизна
отчёт = отчёт
охрана = охрана
очерк = очерк
ошибка = ошибка
ощущение = ощущение

падчерица = падчерица
палеонтология = палеонтология
палец = палец
палка = палка
пальто = пальто
память = память
паникёр = паникёр
папа = папа
пар = пар
пара = пара
параграф = параграф
парашют = парашют
парень = парень
пари = пари
парикмахер = парикмахер
партия = партия
партнёр = партнёр
партнёрство = партнёрство
пассажир = пассажир
пауза = пауза
паутина = паутина
пацан = пацан
перевод = перевод
переводчик = переводчик
перевозка = перевозка
переговоры = переговоры
передача = передача
передвижение = передвижение
перерыв = перерыв
переучёт = переучёт
период = период
перо = перо
персонал = персонал
перспектива = перспектива
перфорация = перфорация
песня = песня
печать = печать
пинок = пинок
пирог = пирог
писатель = писатель
питание = питание
плавник = плавник
план = план
пластмасса = пластмасса
плата = плата
платформа = платформа
платье = платье
платёж = платёж
плач = плач
плед = плед
племянник = племянник
плечо = плечо
плющ = плющ
побег = побег
победа = победа
поведение = поведение
поверхность = поверхность
повествование = повествование
повесть = повесть
повидло = повидло
поворот = поворот
повреждение = повреждение
погода = погода
погружение = погружение
подарок = подарок
подбородок = подбородок
подвал = подвал
подготовка = подготовка
подкладка = подкладка
подкова = подкова
подлинность = подлинность
подмастерье = подмастерье
подписка = подписка
подражание = подражание
подсказка = подсказка
подтверждение = подтверждение
подход = подход
поезд = поезд
поездка = поездка
пожертвование = пожертвование
позитивность = позитивность
поиск = поиск
показ = показ
поколение = поколение
покрытие = покрытие
покупка = покупка
полдень = полдень
поле = поле
политика = политика
полицейский = полицейский
полиция = полиция
половина = половина
полоса = полоса
полуостров = полуостров
получатель = получатель
полушарие = полушарие
польза = польза
полёт = полёт
помощь = помощь
понимание = понимание
пончик = пончик
поощрение = поощрение
поправка = поправка
попытка = попытка
порез = порез
порог = порог
порт = порт
портфель = портфель
порядок = порядок
посетитель = посетитель
посещение = посещение
посланец = посланец
посол = посол
постижение = постижение
постоянство = постоянство
поток = поток
потомок = потомок
потребитель = потребитель
почва = почва
почка = почка
почта = почта
появление = появление
пояс = пояс
правда = правда
правило = правило
правительство = правительство
право = право
правосудие = правосудие
праздник = праздник
практика = практика
превосходство = превосходство
преданность = преданность
предвестник = предвестник
предвидение = предвидение
предвкушение = предвкушение
предел = предел
предложение = предложение
предмет = предмет
предок = предок
предположение = предположение
предсказатель = предсказатель
представление = представление
предубеждение = предубеждение
предчувствие = предчувствие
президент = президент
преимущество = преимущество
препятствие = препятствие
пресса = пресса
претензия = претензия
преувеличение = преувеличение
прибыль = прибыль
прибытие = прибытие
приветствие = приветствие
привратник = привратник
привычка = привычка
приглашение = приглашение
пригоршня = пригоршня
приз = приз
признание = признание
прикосновение = прикосновение
приманка = приманка
пример = пример
примечание = примечание
принцип = принцип
принятие = принятие
приоритет = приоритет
природа = природа
притяжение = притяжение
причина = причина
приятель = приятель
проблема = проблема
проблеск = проблеск
проверка = проверка
проволока = проволока
прогноз = прогноз
прогресс = прогресс
прогулка = прогулка
продажа = продажа
проект = проект
производство = производство
произношение = произношение
происхождение = происхождение
происшествие = происшествие
промах = промах
прорыв = прорыв
просветление = просветление
прославление = прославление
пространство = пространство
противник = противник
противоречие = противоречие
профессорство = профессорство
проход = проход
процент = процент
процесс = процесс
прут = прут
прыжок = прыжок
пряжа = пряжа
психолог = психолог
птица = птица
публика = публика
публикация = публикация
пупок = пупок
пустота = пустота
путешествие = путешествие
путь = путь
пчела = пчела
пшеница = пшеница
пьеса = пьеса
пятно = пятно

работа = работа
равенство = равенство
равновесие = равновесие
радио = радио
радиовещание = радиовещание
радость = радость
развлечение = развлечение
разговор = разговор
разложение = разложение
размер = размер
размещение = размещение
размыкание = размыкание
разница = разница
разногласие = разногласие
разнообразие = разнообразие
разрешение = разрешение
разумность = разумность
район = район
рамка = рамка
раса = раса
раскопки = раскопки
расписание = расписание
расположение = расположение
распределение = распределение
расслабление = расслабление
расследование = расследование
рассмотрение = рассмотрение
расстояние = расстояние
растение = растение
реакция = реакция
ребро = ребро
ребёнок = ребёнок
реверберация = реверберация
регистратура = регистратура
регистрация = регистрация
регулировка = регулировка
резиденция = резиденция
результат = результат
реклама = реклама
рекорд = рекорд
реставрация = реставрация
ретроспектива = ретроспектива
реформа = реформа
речь = речь
решение = решение
риск = риск
рисование = рисование
род = род
родственник = родственник
родство = родство
рождение = рождение
рождество = рождество
рожь = рожь
роса = роса
роскошь = роскошь
рот = рот
ртуть = ртуть
рубец = рубец
руда = руда
ружьё = ружьё
рука = рука
рукавица = рукавица
рукоделие = рукоделие
рукопись = рукопись
рукопожатие = рукопожатие
ручка = ручка
рынок = рынок
рыцарство = рыцарство
рыцарь = рыцарь
ряд = ряд

саксофон = саксофон
самец = самец
самка = самка
самоанализ = самоанализ
самолёт = самолёт
самоцвет = самоцвет
сапог = сапог
сатисфакция = сатисфакция
сборище = сборище
свадьба = свадьба
свекла = свекла
свет = свет
свист = свист
свисток = свисток
свобода = свобода
свод = свод
связь = связь
сгиб = сгиб
сделка = сделка
сдоба = сдоба
сегодня = сегодня
сезон = сезон
сейф = сейф
секрет = секрет
секретарь = секретарь
секунда = секунда
секция = секция
семья = семья
сено = сено
сердце = сердце
середина = середина
сестра = сестра
сеть = сеть
сиденье = сиденье
сила = сила
сингулярность = сингулярность
система = система
ситуация = ситуация
сказочник = сказочник
скачок = скачок
скит = скит
склонность = склонность
скобка = скобка
сковорода = сковорода
скорость = скорость
скрипка = скрипка
скульптура = скульптура
следопыт = следопыт
слесарь = слесарь
словарь = словарь
слово = слово
сложность = сложность
слон = слон
служба = служба
случай = случай
слякоть = слякоть
смекалка = смекалка
смесь = смесь
смета = смета
смех = смех
смешивание = смешивание
смущение = смущение
смысл = смысл
снаряжение = снаряжение
снег = снег
сноровка = сноровка
снос = снос
собрание = собрание
событие = событие
сова = сова
совершенство = совершенство
совет = совет
советник = советник
совместимость = совместимость
соглашение = соглашение
содействие = содействие
содержание = содержание
соединение = соединение
созвездие = созвездие
создание = создание
созерцание = созерцание
сознание = сознание
сойка = сойка
сок = сок
сокращение = сокращение
соловей = соловей
сомнение = сомнение
сон = сон
сообщение = сообщение
сообщество = сообщество
сопло = сопло
сопоставление = сопоставление
сорт = сорт
сосед = сосед
соседство = соседство
состояние = состояние
сострадание = сострадание
софт = софт
сохранение = сохранение
сочетание = сочетание
союз = союз
союзник = союзник
спасение = спасение
спецификация = спецификация
спешка = спешка
спина = спина
список = список
спичка = спичка
спокойствие = спокойствие
спорт = спорт
спортзал = спортзал
способность = способность
справочник = справочник
сравнение = сравнение
срок = срок
срочность = срочность
стабилизация = стабилизация
ставка = ставка
стадия = стадия
стадо = стадо
стандарт = стандарт
старт = старт
старшекурсник = старшекурсник
статья = статья
стекло = стекло
стена = стена
степень = степень
стиль = стиль
стих = стих
стог = стог
стоимость = стоимость
стол = стол
столица = столица
сторона = сторона
страж = страж
страна = страна
странность = странность
странствие = странствие
стратосфера = стратосфера
страх = страх
страхование = страхование
стремянка = стремянка
строительство = строительство
струна = струна
стручок = стручок
струя = струя
стук = стук
стыд = стыд
субординация = субординация
судья = судья
суеверие = суеверие
суждение = суждение
сумка = сумка
сумочка = сумочка
супермаркет = супермаркет
схватка = схватка
схема = схема
сцена = сцена
счастье = счастье
счёт = счёт
счётчик = счётчик

тайна = тайна
талисман = талисман
танец = танец
тарелка = тарелка
телевидение = телевидение
телескоп = телескоп
телефон = телефон
тело = тело
тема = тема
темнота = темнота
температура = температура
тень = тень
тест = тест
тесто = тесто
тип = тип
толпа = толпа
тон = тон
топор = топор
торговля = торговля
точка = точка
точность = точность
традиция = традиция
трактир = трактир
транскрипция = транскрипция
транспорт = транспорт
требование = требование
трепет = трепет
треска = треска
тригонометрия = тригонометрия
тропинка = тропинка
труба = труба
трудность = трудность
тряпка = тряпка
туман = туман
тупик = тупик
тысячелетие = тысячелетие
тётя = тётя

убеждение = убеждение
убежище = убежище
уважение = уважение
уверенность = уверенность
угол = угол
угроза = угроза
удар = удар
удача = удача
удивление = удивление
удовольствие = удовольствие
узел = узел
узнаваемость = узнаваемость
укол = укол
украшение = украшение
укрепление = укрепление
укус = укус
улица = улица
улучшение = улучшение
улыбка = улыбка
ультиматум = ультиматум
ультрамарин = ультрамарин
ультрафиолет = ультрафиолет
умиротворение = умиротворение
умысел = умысел
университет = университет
униформа = униформа
уныние = уныние
употребление = употребление
управление = управление
упражнение = упражнение
упрямство = упрямство
упрёк = упрёк
уравнение = уравнение
ураган = ураган
урбанизация = урбанизация
уровень = уровень
урок = урок
усвоение = усвоение
усиление = усиление
усилие = усилие
ускорение = ускорение
условие = условие
успех = успех
установка = установка
устрица = устрица
усы = усы
утверждение = утверждение
утро = утро
ухо = ухо
участник = участник
ученик = ученик
учреждение = учреждение
ущерб = ущерб
уязвимость = уязвимость

фабрика = фабрика
файл = файл
факт = факт
фармакология = фармакология
фасоль = фасоль
федерация = федерация
ферментация = ферментация
фестиваль = фестиваль
фея = фея
фигура = фигура
филантропия = филантропия
филиал = филиал
филолог = филолог
фильм = фильм
фисташка = фисташка
флагман = флагман
фламинго = фламинго
флюгер = флюгер
фойе = фойе
