-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
подарок = present, gift
подбородок = chin
подвал = basement
подготовка = preparation
подкладка = pad
подкова = horseshoe
подлинность = originality
подмастерье = apprentice
подписка = subscription
подражание = imitation
подсказка = clue
подтверждение = confirmation, corroboration
подход = approach
поезд = train
поездка = trip
пожертвование = donation
позитивность = positiveness
поиск = search
показ = display
поколение = generation
покрытие = cover
покупка = buy
полдень = noon, midday
поле = field
политика = politics
полицейский = cop
полиция = police
половина = half
полоса = band
полуостров = peninsula
получатель = recipient
полушарие = hemisphere
польза = utility
полёт = flight
помощь = aid
понимание = understanding
пончик = doughnut
поощрение = stimulation
поправка = correction
попытка = attempt
порез = cut
порог = doorstep
порт = port
портфель = portfolio
порядок = order
посетитель = visitor
посещение = visit
посланец = envoy
посол = ambassador
постижение = comprehension
постоянство = persistence
поток = flow
потомок = descendant
потребитель = consumer
почва = soil
почка = kidney
почта = mail, post
появление = appearance
пояс = belt
правда = truth
правило = rule
правительство = government
право = right
правосудие = justice
праздник = holiday
практика = practice
превосходство = excellence, preponderance
преданность = dedication
предвестник = forerunner, harbinger
предвидение = precognition
предвкушение = anticipation
предел = limit
предложение = suggestion, offer
предмет = object
предок = ancestor
предположение = assumption, presumption
предсказатель = oracle
представление = performance, presentation
предубеждение = preconception
предчувствие = premonition
президент = president
преимущество = advantage
препятствие = obstruction
пресса = press
претензия = claim
преувеличение = exaggeration
прибыль = profit
прибытие = arrival
приветствие = greeting
привратник = janitor
привычка = habit
приглашение = invitation
пригоршня = handful
приз = prize
признание = confession
прикосновение = touch
приманка = decoy, bait
пример = example
примечание = remark
принцип = principle
принятие = acceptance
приоритет = priority
природа = nature
притяжение = attraction
причина = reason, cause
приятель = pal
проблема = problem, challenge
проблеск = glimpse
проверка = verification, check
проволока = wire
прогноз = forecast
прогресс = progress
прогулка = walk
продажа = sale
проект = project
производство = manufacture
произношение = pronunciation
происхождение = origin
происшествие = incident
промах = miss
прорыв = breakthrough
просветление = enlightenment
прославление = glorification
пространство = space
противник = foe
противоречие = contradiction
профессорство = professorship
проход = passage
